Date;Time;Method;Sample;Na0;Na1;Unit
10.07.2020;12:12:17;4 mial01;SL-1;0;-0,002;%
10.07.2020;12:12:20;4 mial01;SL-2;-0,002;-0,001;%
10.07.2020;12:13:19;4 mial01;SL-1;0;-0,001;%
10.07.2020;12:13:23;4 mial01;SL-2;0,002;-0,015;%
10.07.2020;12:13:59;4 mial01;SH-1;99,952;99,909;%
10.07.2020;12:14:02;4 mial01;SH-2;99,635;99,611;%
10.07.2020;12:14:18;4 mial01;101;96,991;96,947;%
10.07.2020;12:14:28;4 mial01;102;95,013;94,986;%
10.07.2020;12:15:17;4 mial01;103;20,551;20,428;%
10.07.2020;12:15:18;4 mial01;104;20,604;20,483;%
10.07.2020;12:15:28;4 mial01;105;22,009;21,871;%
10.07.2020;12:15:38;4 mial01;106;23,051;22,91;%
10.07.2020;12:15:48;4 mial01;107;23,602;23,533;%
10.07.2020;12:15:58;4 mial01;108;24,104;24,044;%
10.07.2020;12:16:08;4 mial01;109;24,424;24,379;%
10.07.2020;12:16:18;4 mial01;110;24,409;24,341;%
10.07.2020;12:16:28;4 mial01;111;24,594;24,548;%
10.07.2020;12:16:38;4 mial01;112;24,746;24,67;%
10.07.2020;12:16:48;4 mial01;113;24,78;24,678;%
10.07.2020;12:16:58;4 mial01;114;24,748;24,731;%
10.07.2020;12:17:08;4 mial01;115;24,82;24,78;%
10.07.2020;12:17:18;4 mial01;116;24,747;24,703;%
10.07.2020;12:17:28;4 mial01;117;24,7;24,692;%
10.07.2020;12:17:38;4 mial01;118;24,723;24,746;%
10.07.2020;12:17:48;4 mial01;119;24,62;24,708;%
10.07.2020;12:17:58;4 mial01;120;24,582;24,649;%
10.07.2020;12:18:08;4 mial01;121;24,595;24,708;%
10.07.2020;12:18:18;4 mial01;122;24,588;24,635;%
10.07.2020;12:18:28;4 mial01;123;24,538;24,513;%
10.07.2020;12:18:38;4 mial01;124;24,637;24,621;%
10.07.2020;12:19:00;4 mial01;125;24,541;24,51;%
10.07.2020;12:19:08;4 mial01;126;24,557;24,537;%
10.07.2020;12:19:18;4 mial01;127;24,569;24,595;%
10.07.2020;12:19:28;4 mial01;128;24,433;24,408;%
10.07.2020;12:19:38;4 mial01;129;24,438;24,412;%
10.07.2020;12:19:48;4 mial01;130;24,597;24,529;%
10.07.2020;12:19:58;4 mial01;131;24,445;24,395;%
10.07.2020;12:20:08;4 mial01;132;24,343;24,329;%
10.07.2020;12:20:18;4 mial01;133;24,489;24,371;%
10.07.2020;12:20:28;4 mial01;134;24,515;24,333;%
10.07.2020;12:20:38;4 mial01;135;24,505;24,328;%
10.07.2020;12:20:48;4 mial01;136;24,24;24,131;%
10.07.2020;12:20:58;4 mial01;137;24,327;24,212;%
10.07.2020;12:21:08;4 mial01;138;24,437;24,319;%
10.07.2020;12:21:18;4 mial01;139;24,169;24,008;%
10.07.2020;12:21:28;4 mial01;140;24,033;23,935;%
10.07.2020;12:21:38;4 mial01;141;24,152;24,13;%
10.07.2020;12:21:48;4 mial01;142;24,133;24,124;%
10.07.2020;12:21:58;4 mial01;143;24,062;24,002;%
10.07.2020;12:22:08;4 mial01;144;24,158;24,064;%
10.07.2020;12:22:18;4 mial01;145;24,155;23,949;%
10.07.2020;12:22:28;4 mial01;146;24,191;24,014;%
10.07.2020;12:22:38;4 mial01;147;24,037;23,877;%
10.07.2020;12:22:48;4 mial01;148;24,105;23,967;%
10.07.2020;12:22:58;4 mial01;149;24,046;23,894;%
10.07.2020;12:23:08;4 mial01;150;24,125;23,967;%
10.07.2020;12:23:13;4 mial01;151;24,12;23,977;%
10.07.2020;12:23:18;4 mial01;152;24,166;24,032;%
10.07.2020;12:23:28;4 mial01;153;24,2;24,11;%
10.07.2020;12:23:38;4 mial01;154;24,183;24,104;%
10.07.2020;12:23:48;4 mial01;155;24,184;24,09;%
10.07.2020;12:23:58;4 mial01;156;24,223;24,132;%
10.07.2020;12:24:08;4 mial01;157;24,304;24,193;%
10.07.2020;12:24:18;4 mial01;158;24,219;24,109;%
10.07.2020;12:24:58;4 mial01;159;0,895;0,916;%
10.07.2020;12:25:08;4 mial01;160;1,612;1,574;%
10.07.2020;12:25:18;4 mial01;161;2,141;2,042;%
10.07.2020;12:25:28;4 mial01;162;2,544;2,465;%
10.07.2020;12:25:38;4 mial01;163;2,823;2,696;%
10.07.2020;12:25:48;4 mial01;164;2,982;2,796;%
10.07.2020;12:25:58;4 mial01;165;3,045;2,843;%
10.07.2020;12:26:08;4 mial01;166;3,138;2,96;%
10.07.2020;12:26:18;4 mial01;167;3,235;3,119;%
10.07.2020;12:26:28;4 mial01;168;3,222;3,13;%
10.07.2020;12:26:38;4 mial01;169;3,167;3,063;%
10.07.2020;12:26:48;4 mial01;170;3,176;3,062;%
10.07.2020;12:26:58;4 mial01;171;3,22;3,095;%
10.07.2020;12:27:08;4 mial01;172;3,222;3,007;%
10.07.2020;12:27:18;4 mial01;173;3,198;2,937;%
10.07.2020;12:27:28;4 mial01;174;3,229;2,99;%
10.07.2020;12:27:38;4 mial01;175;3,234;3,02;%
10.07.2020;12:27:48;4 mial01;176;3,255;3,075;%
10.07.2020;12:27:58;4 mial01;177;3,278;3,109;%
10.07.2020;12:28:08;4 mial01;178;3,226;3,051;%
10.07.2020;12:28:18;4 mial01;179;3,259;3,069;%
10.07.2020;12:28:28;4 mial01;180;3,284;3,079;%
10.07.2020;12:28:38;4 mial01;181;3,198;2,984;%
10.07.2020;12:28:48;4 mial01;182;3,157;2,937;%
10.07.2020;12:28:58;4 mial01;183;3,149;2,92;%
10.07.2020;12:28:59;4 mial01;184;3,148;2,921;%
10.07.2020;12:29:08;4 mial01;185;3,22;3,02;%
10.07.2020;12:29:18;4 mial01;186;3,187;2,988;%
10.07.2020;12:29:28;4 mial01;187;3,196;2,966;%
10.07.2020;12:29:38;4 mial01;188;3,216;2,954;%
10.07.2020;12:29:48;4 mial01;189;3,222;2,973;%
10.07.2020;12:29:58;4 mial01;190;3,138;2,925;%
10.07.2020;12:30:08;4 mial01;191;3,171;2,951;%
10.07.2020;12:30:18;4 mial01;192;3,268;3,024;%
10.07.2020;12:30:28;4 mial01;193;3,252;2,992;%
10.07.2020;12:30:38;4 mial01;194;3,218;2,939;%
10.07.2020;12:30:48;4 mial01;195;3,225;2,943;%
10.07.2020;12:30:58;4 mial01;196;3,235;2,971;%
10.07.2020;12:31:08;4 mial01;197;3,22;2,972;%
10.07.2020;12:31:18;4 mial01;198;3,191;2,913;%
10.07.2020;12:31:28;4 mial01;199;3,203;2,949;%
