Date;Time;Method;Sample;Na0;Na1;Unit
31.07.2020;15:00:17;4 mial01;SL-1;0;0;%
31.07.2020;15:00:19;4 mial01;SL-2;0;-0,002;%
31.07.2020;15:01:15;4 mial01;SH-1;100,04;100,04;%
31.07.2020;15:01:18;4 mial01;SH-2;100,31;100,3;%
31.07.2020;15:01:28;4 mial01;783;101,92;101,95;%
31.07.2020;15:01:38;4 mial01;784;103,09;103,16;%
31.07.2020;15:02:01;4 mial01;785;35,467;35,589;%
31.07.2020;15:02:08;4 mial01;786;34,377;34,442;%
31.07.2020;15:02:18;4 mial01;787;31,771;31,864;%
31.07.2020;15:02:28;4 mial01;788;30,001;30,096;%
31.07.2020;15:02:38;4 mial01;789;28,747;28,827;%
31.07.2020;15:02:48;4 mial01;790;27,943;27,968;%
31.07.2020;15:02:58;4 mial01;791;27,391;27,44;%
31.07.2020;15:03:08;4 mial01;792;27,131;27,17;%
31.07.2020;15:03:18;4 mial01;793;26,9;26,863;%
31.07.2020;15:03:28;4 mial01;794;26,678;26,627;%
31.07.2020;15:03:38;4 mial01;795;26,624;26,585;%
31.07.2020;15:03:48;4 mial01;796;26,69;26,627;%
31.07.2020;15:03:58;4 mial01;797;26,645;26,619;%
31.07.2020;15:04:08;4 mial01;798;26,483;26,455;%
31.07.2020;15:04:18;4 mial01;799;26,486;26,418;%
31.07.2020;15:04:28;4 mial01;800;26,629;26,58;%
31.07.2020;15:04:38;4 mial01;801;26,61;26,531;%
31.07.2020;15:04:48;4 mial01;802;26,443;26,34;%
31.07.2020;15:04:58;4 mial01;803;26,506;26,368;%
31.07.2020;15:05:08;4 mial01;804;26,504;26,371;%
31.07.2020;15:05:18;4 mial01;805;26,585;26,473;%
31.07.2020;15:05:28;4 mial01;806;26,565;26,452;%
31.07.2020;15:05:38;4 mial01;807;26,489;26,378;%
31.07.2020;15:05:48;4 mial01;808;26,38;26,285;%
31.07.2020;15:05:58;4 mial01;809;26,287;26,206;%
31.07.2020;15:06:08;4 mial01;810;26,261;26,211;%
31.07.2020;15:06:18;4 mial01;811;26,293;26,223;%
31.07.2020;15:06:28;4 mial01;812;26,345;26,269;%
31.07.2020;15:06:38;4 mial01;813;26,255;26,201;%
31.07.2020;15:06:48;4 mial01;814;26,2;26,133;%
31.07.2020;15:06:58;4 mial01;815;26,191;26,16;%
31.07.2020;15:07:08;4 mial01;816;26,289;26,238;%
31.07.2020;15:07:18;4 mial01;817;26,417;26,342;%
31.07.2020;15:07:28;4 mial01;818;26,17;26,112;%
31.07.2020;15:07:38;4 mial01;819;26,201;26,121;%
31.07.2020;15:08:18;4 mial01;820;0,098;0,138;%
31.07.2020;15:08:28;4 mial01;821;0,167;0,182;%
31.07.2020;15:08:38;4 mial01;822;0,237;0,184;%
31.07.2020;15:08:48;4 mial01;823;0,29;0,211;%
31.07.2020;15:08:58;4 mial01;824;0,285;0,207;%
31.07.2020;15:09:08;4 mial01;825;0,308;0,213;%
31.07.2020;15:09:18;4 mial01;826;0,315;0,19;%
