Date;Time;Method;Sample;Na0;Na1;Unit
23.11.2020;09:16:23;4 mial01;1;100;100;%
23.11.2020;09:16:33;4 mial01;2;100;100;%
23.11.2020;09:16:43;4 mial01;3;100;100;%
23.11.2020;09:16:53;4 mial01;4;100;100;%
23.11.2020;09:17:03;4 mial01;5;100;100;%
23.11.2020;09:17:13;4 mial01;6;100;100;%
23.11.2020;09:17:23;4 mial01;7;100;100;%
23.11.2020;09:17:33;4 mial01;8;100;100;%
23.11.2020;09:17:43;4 mial01;9;100;100;%
23.11.2020;09:17:53;4 mial01;10;100;100;%
23.11.2020;09:22:44;4 mial01;11;0;0;%
23.11.2020;09:22:54;4 mial01;12;0;0;%
23.11.2020;09:23:04;4 mial01;13;0;0;%
23.11.2020;09:23:14;4 mial01;14;0;0;%
23.11.2020;09:23:24;4 mial01;15;0;0;%
23.11.2020;09:23:34;4 mial01;16;0;0;%
23.11.2020;09:23:44;4 mial01;17;0;0;%
23.11.2020;09:23:54;4 mial01;18;0;0;%
23.11.2020;09:24:04;4 mial01;19;0;0;%
23.11.2020;09:24:14;4 mial01;20;0;0;%
